name,url,last_updated,scraped_at
GitHub REST API,https://docs.github.com/en/rest,2022-11-28,2024-08-13T21:36:14.717033
Google Analytics Data API,https://developers.google.com/analytics/devguides/reporting/data/v1/changelog,2024-06-28,2024-08-13T21:36:15.836221
Display & Video 360 API,https://developers.google.com/display-video/api/release-notes,2024-09-03,2024-08-13T21:36:16.638495
The Trade Desk API,https://partner.thetradedesk.com/v3/portal/api/doc/UpgradeSupport,Not Available,2024-08-13T21:36:21.267207
Facebook Marketing API,https://developers.facebook.com/docs/marketing-api/marketing-api-changelog,Not Available,2024-08-13T21:36:22.033690
Bing Ads API,https://learn.microsoft.com/en-us/advertising/guides/release-notes?view=bingads-13,July 2024,2024-08-13T21:36:22.133574
TikTok Ads API,https://developers.tiktok.com/doc/changelog?enter_method=left_navigation,2024-07-09,2024-08-13T21:36:23.967163
Google Ads API,https://developers.google.com/google-ads/api/docs/release-notes,Not Available,2024-08-13T21:36:25.735632
X API,https://developer.x.com/en/updates/changelog,Not Available,2024-08-13T21:36:26.287125
Amazon API,https://advertising.amazon.com/API/docs/en-us/release-notes/index,Not Available,2024-08-13T21:36:26.587787
